Date,Open,Close,High,Low,Volume
25-Oct-18,1703.339966,1782.170044,1794.810059,1692.01001,10285700
26-Oct-18,1649.589966,1642.810059,1698.459961,1603,14963800
29-Oct-18,1660,1538.880005,1665.73999,1495,13866100
30-Oct-18,1486.160034,1530.420044,1540.98999,1476.359985,12460100
31-Oct-18,1569.98999,1598.01001,1623.910034,1565.089966,9390200
1-Nov-18,1623.530029,1665.530029,1670.449951,1598.439941,8135500
2-Nov-18,1678.589966,1665.530029,1697.439941,1651.829956,6955500
5-Nov-18,1657.569946,1627.800049,1658.089966,1596.359985,5624700
6-Nov-18,1618.349976,1642.810059,1665,1614.550049,4257400
7-Nov-18,1673,1755.48999,1759.22998,1664.079956,8192200
